地區,姓名,地區排序,得票數,推薦政黨,得票率,當選註記,是否現任,委員會,性別,出生年次,捐贈企業數,總收入,個人捐贈收入,個人捐贈比例,營利事業捐贈收入,營利事業捐贈比例,政黨捐贈收入,政黨捐贈收入比例,人民團體捐贈收入,人民團體收入比例,匿名捐贈收入,匿名捐贈比例,其他收入,其他收入比例,超過三萬元之收入,總支出
臺南市第03選區,鄧秀寶,14,5247,民國黨,2.51%,,否,,女,1960,0,500,500,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,960
臺中市第01選區,黃金推,8,1205,無黨籍,0.85%,,否,,男,1945,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"200,000"
臺中市第02選區,鍾文龍,8,1370,無黨籍,0.68%,,否,,男,1981,0,5000,"5,000",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"200,000"
臺中市第03選區,黃信吉,8,1691,軍公教聯盟黨,0.97%,,否,,男,1956,0,622021,"142,000",22.83%,0,0.00%,"480,000",77.16%,0,0.00%,0,0.00%,21,0.00%,"580,000","618,564"
臺中市第04選區,顏惠莉,8,4154,無黨籍,2.17%,,否,,女,1962,0,3000,"3,000",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"503,500"
臺中市第07選區,石大哉,8,3544,軍公教聯盟黨,1.87%,,否,,男,1970,0,200000,0,0.00%,0,0.00%,"200,000",100.00%,0,0.00%,0,0.00%,0,0.00%,"200,000","200,000"
桃園市第02選區,陳佩俞,4,3270,樹黨,1.82%,,否,,女,1975,0,28304,"28,000",98.93%,0,0.00%,0,0.00%,0,0.00%,300,1.05%,4,0.00%,,"255,718"
桃園市第05選區,張誠,4,17956,民國黨,10.79%,,否,,男,1960,0,487810,"287,300",58.90%,0,0.00%,"160,000",32.79%,0,0.00%,"40,500",8.30%,10,0.00%,"200,000","1,702,113"
新北市第01選區,洪志成,3,1385,健保免費連線,0.66%,,否,,男,1974,0,3250,"3,250",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"203,359"
新北市第01選區,蘇通達,3,5114,樹黨,2.47%,,否,,男,1973,0,99599,"70,699",70.98%,0,0.00%,0,0.00%,0,0.00%,"28,900",29.01%,0,0.00%,,"200,000"
新北市第03選區,姚胤宏,3,1314,樹黨,0.74%,,否,,男,1988,0,66000,"62,000",93.94%,0,0.00%,0,0.00%,0,0.00%,"4,000",6.06%,0,0.00%,"50,000","231,663"
新北市第03選區,蘇卿彥,3,429,無黨籍,0.24%,,否,,男,1939,0,6600,"6,600",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"200,020"
新北市第03選區,蕭忠漢,3,546,健保免費連線,0.30%,,否,,男,1955,0,101000,"101,000",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"100,000","153,511"
新北市第04選區,賈伯楷,3,8609,綠黨社會民主黨聯盟,4.64%,,否,,男,1986,0,1057521,"569,600",53.86%,0,0.00%,"393,105",37.17%,"2,000",0.18%,"92,710",8.76%,106,0.00%,"578,105","1,059,670"
新北市第06選區,李建明,3,1816,樹黨,1.23%,,否,,男,1984,0,55000,"54,000",98.18%,0,0.00%,0,0.00%,0,0.00%,"1,000",1.81%,0,0.00%,,"202,092"
新北市第09選區,張菁芳,3,23767,民國黨,15.05%,,否,,女,1967,0,2353321,"2,314,395",98.35%,0,0.00%,0,0.00%,0,0.00%,"38,900",1.65%,26,0.00%,"1,584,635","5,100,638"
新北市第09選區,李幸長,3,46660,無黨籍,29.56%,,否,,男,1952,0,1027996,"1,024,800",99.69%,0,0.00%,0,0.00%,0,0.00%,"3,100",0.30%,96,0.00%,"940,000","1,172,020"
新北市第09選區,董建一,3,3040,中華民國機車黨,1.92%,,否,,男,1973,0,260110,"209,306",80.47%,0,0.00%,0,0.00%,0,0.00%,"50,729",19.50%,75,0.00%,0,"260,932"
新北市第12選區,陳永順,3,4892,信心希望聯盟,3.13%,,否,,男,1965,0,1003334,"95,700",9.54%,0,0.00%,"900,000",94.87%,0,0.00%,"7,620",0.75%,14,0.00%,"900,000","1,016,799"
新竹市第01選區,魏揚,5,723,軍公教聯盟黨,0.32%,,否,,男,1976,0,201000,"1,000",0.50%,0,0.00%,200000,99.50%,0,0.00%,0,0.00%,0,0.00%,"200,000","202,000"
新竹市第01選區,歐崇敬,5,4189,親民黨,1.91%,,否,,男,1967,0,6503607,"487,600",7.50%,0,0.00%,"6,000,000",92.25%,0,0.00%,"15,598",0.23%,409,0.00%,"6,460,000","7,110,421"
新竹縣第01選區,李宗華,6,1520,軍公教聯盟黨,0.59%,,否,,男,1979,0,250000,"50,000",20.00%,0,0.00%,"200,000",80.00%,0,0.00%,0,0.00%,0,0.00%,"250,000","250,000"
宜蘭縣第01選區,郭儒釗,17,1062,軍公教聯盟黨,0.47%,,否,,男,1956,0,200000,0,0.00%,0,0.00%,"200,000",100.00%,0,0.00%,0,0.00%,0,0.00%,,"200,000"
宜蘭縣第01選區,林獻山,17,634,泛盟黨,0.28%,,否,,男,1958,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"77,049"
彰化縣第02選區,張耀元,10,4554,民國黨,2.80%,,否,,男,1983,0,1171969,"658,448",56.18%,0,0.00%,0,0.00%,"500,000",42.66%,"13,500",1.15%,21,0.00%,"936,000","4,762,038"
彰化縣第02選區,黄玉芬,10,12380,無黨籍,7.61%,,否,,女,1982,0,10700,"10,500",98.13%,0,0.00%,0,0.00%,0,0.00%,200,1.87%,0,0.00%,,"937,898"
彰化縣第02選區,劉泳君,10,657,無黨籍,0.40%,,否,,男,1940,0,12800,"12,800",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"61,249"
彰化縣第03選區,洪遊江,10,2012,自由台灣黨,1.18%,,否,,男,1958,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"2,502"
